"spkid","full_name","diameter","epoch","e","a","i","om","w","tp","per"
20399774,"399774 (2005 NB7)",,2460600.5,0.5174,2.044,12.70,199.16,348.16,2460963.35,1.07e+03
20410777,"410777 (2009 FD)",0.472,2460600.5,0.4929,1.164,3.13,9.26,281.56,2460477.57,459
20450894,"450894 (2008 BT18)",,2460600.5,0.5946,2.22,8.15,107.53,139.40,2460672.38,1.21e+03
20452561,"452561 (2005 AB)",,2460600.5,0.6545,3.22,8.15,126.22,63.70,2459786.02,2.11e+03
20461852,"461852 (2006 GY2)",,2460600.5,0.4959,1.858,30.56,54.29,216.73,2460375.83,925
20481532,"481532 (2007 LE)",,2460600.5,0.5157,1.839,29.55,73.62,120.28,2460589.98,911
20488453,"488453 (1994 XD)",,2460600.5,0.7337,2.344,4.33,96.02,249.55,2460153.65,1.31e+03
20489486,"489486 (2007 GS3)",,2460600.5,0.1291,1.061,15.09,215.39,61.07,2460660.20,399
20494658,"494658 (2000 UG11)",,2460600.5,0.5718,1.929,8.91,223.91,240.87,2460702.86,979
20523625,"523625 (2008 DG17)",,2460600.5,0.4503,1.837,41.10,324.36,215.08,2460918.88,909
20523775,"523775 (2014 YB35)",0.279,2460600.5,0.4833,1.877,12.64,3.72,188.64,2460870.08,939
20539940,"539940 (2017 HW1)",,2460600.5,0.4591,2.137,33.96,41.32,168.84,2460104.01,1.14e+03
20612098,"612098 (1999 RM45)",,2460600.5,0.6446,1.684,10.89,162.63,88.91,2460920.93,798
20613286,"613286 (2005 YQ96)",,2460600.5,0.3336,0.7434,22.23,282.66,340.14,2460629.96,234
